index,headline,source_url,publish_date,publisher,crawl_type
78,Explainer: Global airlines on high alert as virus outbreak spreads,https://www.channelnewsasia.com/news/business/wuhan-virus-global-airlines-on-high-alert-virus-outbreak-spreads-12310040,23/01/2020 14:58,Channel News Asia,auto
79,16 people under observation after contact with US coronavirus patient,https://www.channelnewsasia.com/news/world/wuhan-virus-us-people-under-observation-after-contact-patient-12310850,23/01/2020 15:23,Channel News Asia,auto
80,Wuhan virus spotlights Japan contagion risks as Olympics loom,https://www.channelnewsasia.com/news/sport/wuhan-virus-spotlights-japan-contagion-risks-as-olympics-loom-12311408,23/01/2020 16:25,Channel News Asia,auto
81,Hong Kong turns holiday camps into quarantine zones as Wuhan virus fears spike,https://www.channelnewsasia.com/news/asia/wuhan-virus-hong-kong-macau-coronavirus-pneumonia-12309850,23/01/2020 16:26,Channel News Asia,auto
82,Schools step up precautions after Wuhan virus case confirmed in Singapore,https://www.channelnewsasia.com/news/singapore/wuhan-virus-schools-declare-chinese-new-year-travel-plans-12310972,23/01/2020 16:26,Channel News Asia,auto
83,Malaysia's public hospitals can handle possible cases of Wuhan virus: Deputy Health Minister,https://www.channelnewsasia.com/news/asia/wuhan-virus-malaysia-public-hospitals-lee-boon-chye-12311350,23/01/2020 16:44,Channel News Asia,auto
84,Wuhan virus: Singapore companies with projects in Chinese city step up precautionary measures,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-companies-precautionary-measures-employees-12307948,23/01/2020 17:16,Channel News Asia,auto
85,Asian markets hammered as China steps up Wuhan virus response,https://www.channelnewsasia.com/news/business/wuhan-virus-asia-stock-markets-coronavirus-pneumonia-12311220,23/01/2020 17:19,Channel News Asia,auto
86,Commentary: Wuhan virus compounds challenges facing China,https://www.channelnewsasia.com/news/commentary/wuhan-virus-pneumonia-coronavirus-challenge-china-xi-jinping-12311194,23/01/2020 18:00,Channel News Asia,auto
87,China's Huanggang locked down over Wuhan virus; Ezhou stops trains,https://www.channelnewsasia.com/news/asia/china-huanggang-lockdown-wuhan-pneumonia-virus-ezhou-12312064,23/01/2020 18:06,Channel News Asia,auto
88,7 Chinese movie releases including Jackie Chan's Vanguard delayed worldwide due to Wuhan virus,https://www.channelnewsasia.com/news/singapore/wuhan-virus-china-movies-cancel-singapore-cinemas-gv-shaw-cathay-12311608,23/01/2020 20:11,Channel News Asia,auto
89,Hotel operators waive fees for Chinese hotel cancellations as Wuhan virus fears grow,https://www.channelnewsasia.com/news/business/hotel-operators-waive-fees-china-hotel-cancellations-wuhan-virus-12313282,23/01/2020 20:25,Channel News Asia,auto
90,Beijing's Forbidden City to close over Wuhan virus fears,https://www.channelnewsasia.com/news/asia/beijing-cancels-chinese-new-year-events-wuhan-pneumonia-virus-12314540,23/01/2020 20:54,Channel News Asia,auto
