Title,Source Link,Time of the post,Source Name
Beijing municipal market regulator fines drugstore for jacking up face mask prices,https://www.theonlinecitizen.com/2020/01/29/beijing-municipal-market-regulator-fines-drugstore-for-jacking-up-face-mask-prices/,2020-01-29,The Online Citizen
WP fully supports the multi-ministry task force efforts on the serious and concerning Wuhan virus outbreak,https://www.theonlinecitizen.com/2020/01/29/wp-fully-supports-the-multi-ministry-task-force-efforts-on-the-serious-and-concerning-wuhan-virus-outbreak/,2020-01-29,The Online Citizen
"In Middle East, UAE announces first case of new coronavirus",https://www.theonlinecitizen.com/2020/01/29/in-mideast-first-uae-announces-case-of-new-coronavirus/,2020-01-29,The Online Citizen
CapitaLand and other Singapore firms temporarily cease operations in China due to viral outbreak,https://www.theonlinecitizen.com/2020/01/29/capitaland-and-other-singapore-firms-temporarily-cease-operations-in-china-due-to-viral-outbreak/,2020-01-29,The Online Citizen
Three Japanese evacuated from Wuhan have new coronavirus,https://www.theonlinecitizen.com/2020/01/30/three-japanese-evacuated-from-wuhan-have-new-coronavirus/,2020-01-30,The Online Citizen
"Robust measures implemented to protect pre-schoolers from the Wuhan virus, says Minister Desmond Lee",https://www.theonlinecitizen.com/2020/01/30/robust-measures-implemented-to-protect-pre-schoolers-from-the-wuhan-virus-says-minister-desmond-lee/,2020-01-30,The Online Citizen
Virus fears spark mask queues and empty shelves in Hong Kong,https://www.theonlinecitizen.com/2020/01/30/virus-fears-spark-mask-queues-and-empty-shelves-in-hong-kong/,2020-01-30,The Online Citizen
PM Lee says that the Government will do more if necessary and continue to monitor the Wuhan virus situation in Singapore,https://www.theonlinecitizen.com/2020/01/30/pm-lee-says-that-the-government-will-do-more-if-necessary-and-continue-to-monitor-the-wuhan-virus-situation-in-singapore/,2020-01-30,The Online Citizen
Three more confirmed cases of Wuhan virus; 13 confirmed cases in Singapore so far,https://www.theonlinecitizen.com/2020/01/30/three-more-confirmed-cases-of-wuhan-virus-13-confirmed-cases-in-singapore-so-far/,2020-01-30,The Online Citizen
Canada to bring home up to 160 from China over coronavirus,https://www.theonlinecitizen.com/2020/01/30/canada-to-bring-home-up-to-160-from-china-over-coronavirus/,2020-01-30,The Online Citizen
Three more confirmed imported cases of Wuhan Coronavirus in Singapore; Ten confirmed cases in total so far,https://www.theonlinecitizen.com/2020/01/29/three-more-confirmed-imported-cases-of-wuhan-coronavirus-in-singapore/,2020-01-30,The Online Citizen
