index,headline,source_url,publish_date,publisher,crawl_type
112,Lim Tean says PAP government reactive not proactive in dealing with coronavirus outbreak,http://theindependent.sg/lim-tean-says-pap-government-reactive-not-proactive-in-dealing-with-coronavirus-outbreak/,06/02/2020,The Independent Singapore,manual
113,Woman evades rape by feigning Wuhan virus infection,http://theindependent.sg/woman-evades-rape-by-feigning-wuhan-virus-infection/,06/02/2020,The Independent Singapore,manual
114,"Outrageous Wuhan virus “cures” include cow dung, garlic, saltwater gargles, green bean soup",http://theindependent.sg/outrageous-wuhan-virus-cures-include-cow-dung-garlic-saltwater-gargles-green-bean-soup/,06/02/2020,The Independent Singapore,manual
115,"Wuhan virus outbreak: India now screening travelers from Singapore, Thailand, HK",http://theindependent.sg/wuhan-virus-outbreak-india-now-screening-travelers-from-singapore-thailand-hk/,06/02/2020,The Independent Singapore,manual
116,"SG Budget 2020 will support coronavirus fallout, cost of living needs says Indranee Rajah",http://theindependent.sg/sg-budget-2020-will-support-coronavirus-fallout-cost-of-living-needs-says-indranee-rajah/,06/02/2020,The Independent Singapore,manual
117,‘Olympics will go ahead’: Tokyo organisers slam virus rumours,http://theindependent.sg/olympics-will-go-ahead-tokyo-organisers-slam-virus-rumours/,06/02/2020,The Independent Singapore,manual
118,"Death of Chinese doctor fuels anger, demands for change",http://theindependent.sg/death-of-chinese-doctor-fuels-anger-demands-for-change/,07/02/2020,The Independent Singapore,manual
119,"Meteor Garden star Barbie Hsu gets slammed for sending 10,000 masks to Wuhan",http://theindependent.sg/meteor-garden-star-barbie-hsu-gets-slammed-for-sending-10000-masks-to-wuhan/,07/02/2020,The Independent Singapore,manual
120,Pangolin identified as potential link for coronavirus spread,http://theindependent.sg/pangolin-identified-as-potential-link-for-coronavirus-spread/,07/02/2020,The Independent Singapore,manual
121,"Morning brief: Wuhan coronavirus update for Feb 7, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-7-2020/,07/02/2020,The Independent Singapore,manual
122,"Amidst Wuhan virus outbreak, woman caught smearing blood in Yishun lift",http://theindependent.sg/amidst-wuhan-virus-outbreak-woman-caught-smearing-blood-in-yishun-lift/,07/02/2020,The Independent Singapore,manual
123,"Morning brief: Wuhan coronavirus update for Feb 8, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-8-2020/,08/02/2020,The Independent Singapore,manual
124,"It’s fake, says CNA of viral tweet on closure of schools",http://theindependent.sg/its-fake-says-cna-of-viral-tweet-on-closure-of-schools/,08/02/2020,The Independent Singapore,manual
125,DORSCON Orange effect: supermarket shelves cleared out of food and other essentials,http://theindependent.sg/dorscon-orange-effect-supermarket-shelves-cleared-out-of-food-and-other-essentials/,08/02/2020,The Independent Singapore,manual
126,WHO launches investigation into SG conference linked to three Wuhan virus cases,http://theindependent.sg/who-launches-investigation-into-sg-conference-linked-to-three-wuhan-virus-cases/,08/02/2020,The Independent Singapore,manual
127,What’s in a name? WHO tiptoes around what to call virus,http://theindependent.sg/whats-in-a-name-who-tiptoes-around-what-to-call-virus/,08/02/2020,The Independent Singapore,manual
128,"Morning brief: Wuhan coronavirus update for Feb 9, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-9-2020/,09/02/2020,The Independent Singapore,manual
129,"Novel coronavirus: Will the returning 30,000 Chinese workers become collateral damage in Singaporeans’ disenchantment with the government’s pro-foreigners policies?",http://theindependent.sg/novel-coronavirus-will-the-returning-30000-chinese-workers-become-collateral-damage-in-singaporeans-disenchantment-with-the-governments-pro-foreigners-policies/,09/02/2020,The Independent Singapore,manual
130,"PM Lee: No need to panic and stock up on food, there are enough supplies",http://theindependent.sg/pm-lee-no-need-to-panic-and-stock-up-on-food-there-are-enough-supplies/,09/02/2020,The Independent Singapore,manual
131,"China virus deaths rise past 800, overtaking SARS toll",http://theindependent.sg/china-virus-deaths-rise-past-800-overtaking-sars-toll/,09/02/2020,The Independent Singapore,manual
132,Scientists race to develop vaccine for new coronavirus,http://theindependent.sg/scientists-race-to-develop-vaccine-for-new-coronavirus/,09/02/2020,The Independent Singapore,manual
133,Filipinos criticise Duterte for slow response to Wuhan coronavirus,http://theindependent.sg/filipinos-criticise-duterte-for-slow-response-to-wuhan-coronavirus/,10/02/2020,The Independent Singapore,manual
134,Lim Tean says PAP incompetent in dealing with coronavirus issue,http://theindependent.sg/their-incompetence-is-staggering-and-is-damaging-singapores-international-reputation-lim-tean-on-pap/,10/02/2020,The Independent Singapore,manual
135,"Morning brief: Wuhan coronavirus update for Feb 10, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-10-2020/,10/02/2020,The Independent Singapore,manual
136,PAP MP on why she wore mask during visit to block with coronavirus patient,http://theindependent.sg/pap-mp-on-why-she-wore-mask-during-visit-to-block-with-coronavirus-patient/,10/02/2020,The Independent Singapore,manual
